,keluhan
0,saya ada beli rumah di diamond park sidoarjo sudah dari bulan januari belum masuk listrik dari pln padahal unit udah jadi alas dari developer adalah pln nya sampai saat ini belum juga pasang kabel dengan alas kabel tmnya belum ada apakah benar pln tidak punya stok untuk kabel tm meski begitu apakah dalam kurun waktu 3 bulan mesan kabel tm belum ada tolong bijak saya butuh tempat tinggal sekarang tempat tinggal sudah ada namun listrik belum juga pasang pln apakah begini cara kerja nya saya rakyat biasa yg butuh listrik tempat tinggal saya dan saya sudah tunggu terlalu lama
1,nama saya hatma alamat rumah di manyar sabrangan viii-b 36 mulyorejo surabaya tadi malam tetangga belah kiri rumah saya anak nya tinggal karena demam darah mohon segera di fogging dan di tindak lanjut khawatir tular sini kampung mohon padat duduk jadi mohon di prioritas terima kasih banyak
2,saya mau tanya kait terima hibah kami adalah satu urus musholla al-islah jl kapas lor 1g no 2a yang 3tahun yang lalu aju mohon dana hibah untuk bangun lantai 2 musholla kami baru ada informasi lanjut tahun 2018 ini sudah sampai pada tahap penandatanganan nphd namun sekarang masih di suruh tunggu lagi padahal sudah 3 tahun kami nanti apakah ini akan benar cair atau php saja mohon jelas besar harap kami dengan nanti yang panjang ini ada harap cair terimakasih
3,dasar pres no 98 tahun 2018 proses buat kk dan e-ktp baru sudah bisa langsung laku di dispenduk tanpa surat antar rt rw lurah estimasi berapa lama terima kasih
4,kpd bapak ibu rekam e-ktp luar domisili saat ini saudara saya kerja dan tempat tinggal di surabaya barat dengan guna ktp laminating ktp manual saat ini saudara saya belum pernah rekam data e-ktp sama sekali karena ktp manual masih domisili kota kefamenanu ntt tanya saya - apakah rekam data e-ktp bisa laku di dinas duduk dan catat sipil surabaya acu ada info buat e-ktp luar domisili dasar permendagri nomor 8 tahun 2016 tentang ubah dua atas permendagri nomor 9 tahun 2011 tentang pedoman terbit ktp bas nik cara nasional - bila boleh dokumen apa saja yang harus saya siap - berapa biaya yang harus bayar terima kasih
5,ada warga yg tidak bisa buat e-ktp krn kk hilang dan hanya punya ktp saja mohon solosinya
6,bapak ibu ythmohon segera laku hadap anak saya yang gila yang belum sudah laku aniaya hadap istri dan saya tidak kuat atas sendiri dan sekarang saya tidak tahu harus minta tolong pada siapa lagi mohon untuk segera di respon terimakasih
7,halo saya ingin tanya bagaimana cara buat ektp di surabaya ini dengan beda domisili ktp adik saya dari luar pulau hubung kerja di kota surabaya dan beliau butuh untuk buat ektp untuk kerja apakah ada prosedur khusus yang perlu di siap jika ada gimana ya cara nya terima kasih
8,saya minggu lalu aju minta surat belum nikah untuk syarat catat sipil luar kota kemudian saya kembali kemarin jumat 15 maret 2019 sesuai dengan jadwal nya sampe dispendukcapil nyata surat belum di tanda tangan jadi saya tunggu sebentar telah surat selesai saya baca info alamat saya salah tulis padahal itu hal yang sangat simple dan pegawai sana bilang iya sini ada 2 checker lalu baru di tanda tangan atas yang bener donk masa sudah 2 checker info almat yang simple aja masih aja salah dan sudah salah pegawai nya pun ga bisa langsung ubah surat nya karena telah ubah masih harus di tanda tangan olah 2 checker 1 atas ini sedang kemarin di hari jumat di jam kerja masih pulil 10 00 pagi - kata pegawai nya 1 checker nya sedang di kondangan dan dia juga bilang iya salah karena ini lagi banyak document yang di kerja alas banyak kerja itu tidak bisa terima karena nama juga kerja ya harus kerja tugas masing2 dengan baik ini jadi ga sekali saja temen saya juga alami hal yang sama waktu kerja capil nya dia alamat teman saya juga salah sampai 2x dia harus balik ke kantor kita juga orang kerja kalau harus jauh2 mgambil suray yg salah2 terus itu kan juga buang waktu duduk saya mohon tolong pegawai2 di dispendukcapil di training lagi dan di tekan bahwa ini kerja mereka juga harus kerja dengan baik
9,saya sangat prihatiin hadap mobile oprasional ambulance seluruh puskesmas surabaya tidak ada tindak lanjut intansi kait hadap baik atau prawatan ambulance birokrasi yg sulit lapor aju sudah masuk namun tidak ada tindak lanjut mobile yg tidak sehat atap mobile yg bocor saat hujan body yg kropos kampas yg rem n kopling serta ac yg tidak kerja mesti yg harus ganti n masih banyak kendala2 lai yg butuh segera baik mobil ambulance oprasional dengan ada yg kurang sehat paksa untuk tetep jalan sedang ambulance bawa pasien sedang butuh pertolaongan cepat mohon perintah surabaya ibu risma segera tindak lanjut terimakasih
10,malam assalamualaikum saya siswa salah satu sma swasta di surabaya kami dari osis milik buah program dan ingin aju mohon kerjasama kepada perintah kota apa prosedur yang harus kami lalu kepada siapa kami harus konsultasi dan aju proposal giat ini apa saja yang harus kami siap terimakasih
11,selamat siang media centermohon informasi kalau mau aju pengecetan lapang futsal yg bangun oleh spora sby itu apakah aju bisa langsung ke spora dan yg aju harus ditandatangani oleh siapa saja terimakasih
12,urus akte mati di lurah kok lama ya min nggak jadi jadi apa memang lama begini ya bukane sudah on line ya
13,assalamualaikum bu ini kemarin yg ngurus surat ahli waris bu di lurah kapasari camat genteng ini tidak mau mendatangani surat terang ahli waris alas ibu saudara bukan ahli waris harus istri dan anak sedang undang2 wali no 75 tahun 2018 kata kalau hubung darah 1 tingkat keluarga itu adalah ahli waris mereka kok buat undang2 sendiri bu tolong bu saya sudah bas kali mondar mandir di lurah tapi gk mau di tanda tangan sudah 3 bulan lebih saya ngurus ini bu tapi lurah tidak mau tanda tangan tetep bersih keras tidak mau tanda tangan saya punya bukti rekam suara bu tolong bu saya sudah down dari dulu lurah ini suka sulit sama keluarga saya padahal keluarga saya tidak tau salah apa ahli waris di tuju ke ibu saya untuk urus gaji sangon kakak saya yang tinggal buat masa hari tua ibu saya sedang bapak saya sudah tinggal lama dari saya sd kakak saya bom meni dan tidak punya anak dan sini tidak ada gugat sedang berkas2 sudah siap semua tinggal ahli waris saja camat enak bu yang sulit lurah kapasari bu saya ada bukti2nya bu dan saya sudah bas kali sana bu tolong di ganti saja kepala lurah tidak tanggung jawab gin bu mereka kok buat undang2 sendiri pikir keluarga saya bodoh dan tidak tau undang2 wali
14,bikin akte lahir karena hilang dkelurahan kata online kok sampek 3 mnggu nggak jadi2 trus urus surat pernytaan ahli waris juga kok kesan dpersulit padahal cuman untuk syarat tutup tabung dbawah 10 juta milik almh ibu bal tadi bagi untuk urus surat2 waris yg rakerlah yg cuti trus skg pak lurah lah yg tidak ada dtempat lurah bulak kok ribet amat ya tidak sepwrti lurah pacarkeling tempat saya tinggal tlg bu risma dtindak ini lurah kok jg kerja istirahat dari jam 12-14 harus kan 1 jam dan itu harus brgantian tidak kantor dbiarkan kosong
15,
16,urus surat terang belum meni
