,keluhan_clean
0,ada beli rumah diamond park sidoarjo bulan januari masuk listrik pln padahal unit udah jadi alas dari developer pln nya saat pasang kabel alas kabel tmnya ada benar pln punya stok kabel tm meski kurun waktu 3 bulan mesan kabel tm ada bijak butuh tempat tinggal sekarang tempat tinggal ada listrik belum juga pasang pln apakah begini cara kerja nya rakyat biasa yg butuh listrik tempat tinggal dan sudah tunggu terlalu lama
1,nama hatma alamat rumah manyar sabrangan viii-b 36 mulyorejo surabaya tadi malam tetangga belah kiri rumah anak nya tinggal demam darah mohon segera fogging tindak lanjut khawatir tular sini kampung mohon padat duduk jadi mohon di prioritas terima kasih banyak
2,mau tanya kait terima hibah adalah satu urus musholla al-islah jl kapas lor 1g no 2a 3tahun lalu aju mohon dana hibah bangun lantai 2 musholla baru informasi lanjut tahun 2018 pada tahap penandatanganan nphd sekarang di suruh tunggu padahal sudah 3 tahun benar cair php mohon jelas besar harap dengan nanti yang panjang ini ada harap cair terimakasih
3,dasar pres no 98 tahun 2018 proses buat kk e-ktp baru bisa langsung laku dispenduk surat antar rt rw lurah estimasi berapa lama terima kasih
4,kpd bapak ibu rekam e-ktp luar domisili ini saudara kerja tempat tinggal surabaya barat guna ktp laminating ktp manual ini saudara belum pernah rekam data e-ktp sama sekali ktp manual domisili kota kefamenanu ntt tanya - rekam data e-ktp laku dinas duduk catat sipil surabaya acu info buat e-ktp luar domisili dasar permendagri nomor 8 tahun 2016 ubah atas permendagri nomor 9 tahun 2011 pedoman terbit ktp bas nik cara nasional - bila dokumen apa saya siap - berapa biaya yang harus bayar terima kasih
5,warga yg bisa buat e-ktp krn kk hilang hanya punya ktp mohon solosinya
6,bapak ibu ythmohon segera laku hadap anak gila yang belum laku aniaya hadap istri kuat atas sendiri sekarang saya tidak tahu minta pada siapa mohon segera respon terimakasih
7,halo ingin tanya bagaimana cara buat ektp surabaya dengan beda domisili ktp adik dari luar pulau hubung kerja kota surabaya beliau butuh buat ektp kerja ada prosedur khusus perlu siap ada gimana cara nya terima kasih
8,minggu lalu aju minta surat nikah syarat catat sipil luar kota kemudian kembali kemarin jumat 15 maret 2019 sesuai jadwal nya sampe dispendukcapil nyata surat tanda tangan jadi tunggu sebentar surat selesai baca info alamat salah tulis padahal sangat simple pegawai sana bilang iya sini 2 checker lalu baru tanda tangan atas bener donk masa 2 checker info almat simple aja aja salah sudah salah pegawai nya ga langsung ubah surat nya telah ubah tanda tangan olah 2 checker 1 atas sedang kemarin hari jumat jam kerja pulil 10 00 pagi - kata pegawai nya 1 checker nya sedang kondangan bilang iya salah banyak document kerja alas banyak kerja tidak terima nama kerja kerja tugas masing2 baik ini jadi ga sekali temen alami hal yang sama waktu kerja capil nya alamat teman juga salah 2x dia harus balik kantor juga orang kerja kalau harus jauh2 mgambil suray yg salah2 terus kan juga buang waktu duduk mohon pegawai2 dispendukcapil di training dan di tekan ini kerja juga harus kerja baik
9,sangat prihatiin hadap mobile oprasional ambulance seluruh puskesmas surabaya tindak lanjut intansi kait hadap baik prawatan ambulance birokrasi yg sulit lapor aju masuk ada tindak lanjut mobile yg sehat atap mobile yg bocor hujan body yg kropos kampas yg rem n kopling ac yg tidak kerja mesti yg ganti n banyak kendala2 lai yg butuh segera baik mobil ambulance oprasional ada yg kurang sehat paksa tetep jalan sedang ambulance bawa pasien sedang butuh pertolaongan cepat mohon perintah surabaya ibu risma segera tindak lanjut terimakasih
10,malam assalamualaikum siswa salah satu sma swasta surabaya dari osis milik buah program ingin aju mohon kerjasama perintah kota apa prosedur lalu siapa harus konsultasi aju proposal giat apa yang harus kami siap terimakasih
11,selamat siang media centermohon informasi kalau mau aju pengecetan lapang futsal yg bangun spora sby apakah aju langsung spora yg aju ditandatangani siapa terimakasih
12,urus akte mati lurah kok lama min jadi jadi apa memang lama begini bukane on line
13,assalamualaikum bu kemarin yg ngurus surat ahli waris bu lurah kapasari camat genteng mau mendatangani surat terang ahli waris alas ibu saudara bukan ahli waris istri anak sedang undang2 wali no 75 tahun 2018 kata kalau hubung darah 1 tingkat keluarga adalah ahli waris kok buat undang2 sendiri bu bu bas kali mondar mandir lurah gk mau tanda tangan 3 bulan lebih ngurus bu lurah mau tanda tangan tetep bersih keras mau tanda tangan punya bukti rekam suara bu bu down dulu lurah suka sulit sama keluarga padahal keluarga tau salah apa ahli waris tuju ibu untuk urus gaji sangon kakak tinggal buat masa hari tua ibu sedang bapak sudah tinggal lama sd kakak bom meni tidak punya anak sini tidak ada gugat sedang berkas2 sudah siap semua tinggal ahli waris camat enak bu yang sulit lurah kapasari bu ada bukti2nya bu saya sudah bas kali sana bu di ganti kepala lurah tidak tanggung jawab gin bu kok buat undang2 sendiri pikir keluarga saya bodoh tidak tau undang2 wali
14,bikin akte lahir hilang dkelurahan kata online kok sampek 3 mnggu jadi2 trus urus surat pernytaan ahli waris kok kesan dpersulit padahal cuman syarat tutup tabung dbawah 10 juta milik almh ibu bal tadi untuk urus surat2 waris yg rakerlah yg cuti trus skg pak lurah lah yg ada dtempat lurah bulak kok ribet ya sepwrti lurah pacarkeling tempat tinggal tlg bu risma dtindak lurah kok jg kerja istirahat jam 12-14 kan 1 jam itu brgantian kantor dbiarkan kosong
15,urus surat terang meni
16,ini ibu sdg proses urus surat ahli waris lurah pihak sekretariat tolak pada buku nikah ibu hanya tulis usia 23 thn dasar usia dasar ucap mbah kakung yg tdk ingat thn brp putri lahir dg thn meni 1986 ibu rantau kota kerja lengkap dokumen ibu tulis thn lahir 1967 smua dokumen yg milik tulis thn lahir 1967 nyata sebut masalah pihak sekretariat krn usia d buku nikah tdk sesuai ibu lahir 1967 kami minta rubah data kk saya rubah data kk arti sya hrs rubah seluruh dok sperti akte lahir ibu jga dong mohon solusi tksh
17,mau tanya benar bagaimana prosedur cari data duduk surabaya jujur paham prosedur apa tadi siang datang dispendukcapil tunggu kurang lebih 1 jam tengah lalu surat antar kampus suruh datang bakesbang beri tau apapunlanjut langsung bakesbang nyampai sana data suruh tulis buku tamu biasa gak tunggu waktu lama ibu ada sana bilang mbak mau apa sontak kaget jawab mau minta data duduk remaja surabaya buibu langsung jawab mana proposal fyi bener2 gak paham kalo suruh bawa proposal skripsi gak tau soal prosedurnyayang keluh gaada pemberitahuan tulis prosedur minta izin bakesbang minimal bekerjasama lah dispendukcapil jugaa masyarakat khusus mahasiswa jadi paham dan tidak membuang2 waktudan saya keluh adalah sikap dari ibu bakesbang sangat tidak ramah maybe memang suasana hati tidak bagus bukankah kalo kerja profesional tidak campur urus pribadi kantor entah yang saya sangat keluh
18,selamat siang mau tanya portal ssw surabaya go id ganti dg bkd kota surabaya hari minggu 10 03 2019 pukul 13 07 wib nama hambat isi formulir perizininan besok langsung tumpuk uptsa jadi molor terima kasih
19,selamat pagi media centermau tanya kalau mohon pasang lpju lingkung rt aju ditandatangani jabat siapa ya terimakasih
20,depan rumah kadang kadang selalu bakar bakar tidak tau apa bakar asap itu bagi ganggu saya punya riwayat sakit asma terima kasih
21,hubung keluh yg sya input bbrpa hari yg lalu layan camat wonokromo hari sya dtang kesana tanya bapak wisnu perihal kk karna hari beliau sedang rapat alhamdulillah bpk wisnu sangat bantu sangat syukur harap banyak jabat layan publik yg amanah bantu masyarakat bagaimana bpk wisnu sekali saya ucap trimakasih bpk wisnu yg sangat baik bantu warga
22,mau update kartu keluarga model baru tambah kolom golong darah tanggal nikah camat kok bawa antar rt rw lurah padahal data tsb kait rt rw
23,apa rsud dr soewandi paham betul sakit tular yg nya tdk satu dgn sakit yg tdk menularkakek harus opnam sakit jantung kakek klas 1 dgn isi 2 orangsaat pertama masuk kamar posisi nya kosong tp jam 10 malam ada pasien baru dgn sakit batuk2 muntah mencret bukan nya semua ciri2 sakit tular knapa pasien dgn sakit jantung satu dgn pasien yg dgn sakit tular padahal banyak kamar yg kosong di klas 1
24,selamat pagi mau laku rekam data e ktp kantor camat jambang undang tulis buka kantor hari sabtu jam 8 hingga jam 10 tunggu tugas rekam belum datang padahal banyak orang antri laku rekam mohon instruksi tugas datang tepat waktu terima kasih
25,slanat siang mau tanya saudara alamat rumah giri keluran giri kec mampir mau obat puskesmas giri dekat rumah sedang faskes bpjs pbinya klampis ngasem sangat jauh apa obat bpjs sebut klao bisa minta solusi
26,beberapa lagi hendak tanya kait pajak terang jalan genset kami milik pasang meter tetap rumus sama daya x waktu x tarif x pajak genset guna meter untuk panas kena pajak terang jalan bukankah jadi obyek pajak terang jalan sesuai pasal 31 ayat 2 perda no 4 tahun 2011 guna tenaga listrik mana aktivitas panas genset tidak tenaga listrik guna tenaga guna dari bahan bakar solar bukan tenaga listrik mohon info terima kasih
27,e100ss min numpang tanya urus pinjam ruang publik balai pemuda surat izin aju mana terima kasih
28,sapawargasby e100ss mohon bantu informasi lur bgm syarat urus surat akte lahir hilang terima kasih
29,selamat siang sapawargasby polrestabessby e100ss counter polrestabes sby siola layan panjang skck syarat apa thx
30,sapawargasby selamat siang min sy mw tanya kalau utk urus panjang siup domisili srbya sy urus online mana mksih sblumnya
31,kemi sewa ruko permata bintoro kav 25-26 surabaya rt rw tempat knp sulit mau urus surat ijin domisili usaha padahal buat surat domisili usaha sebut perlu urus perijinan yg jaman spt saat mudah laku usaha spt knp banyak pungut yg hrs bayar biaya bersih aman ruko 450rb rt bersih 250rb rw surat domisili usaha 6 bulan 75rb 1 tahun 150rbpadahal tanya toko di tempat2 tdk pungut sama sekali mohon klarifikasi pihak2 kait naik banyak pungut ini
32,puskesmas kalirungkutsaya sdh bbrp hari daftar online dapat nomor antri awal no 13 hari h datang puskesmas layan kia nyata nomor2 besar atas panggil duluan yg selisihny kali lebih nomor sempet tanya tugas benar nomor ada tidak urut sesuai dg nomor antri jd tanya apa fungsi nomor antri daftar terima kasih
33,rusun bandarejo-sememi kok ada blc nya lur
34,e100ss banggasurabaya apa cuma yg kalo taman flora kasi karcis parkir tera rp 1000 minta bayar 3ribu trus pas pulang karcis minta balik sama tukang parkir sabtu pagi 23 feb 2019 jam 10-an
35,min mau tanya buat kk camat berapa lama terus proses buat ktp baru apa langsung kk jadi sapawargasby
36,selamat pagi nurfadillah pulo wonokromo sangat kecewa layan administrasi lurah wonokromo tanggal 20 februari urus administrasi kependudukandi lurah wonokromo tani kakak sana sambut bahasa sangat ketus tugas suruh tunggu serambi depan pelaayanan pindah serambi depan sudah tunggu lama malah orang baru datang langsung layan mohon maaf sengaja perhati tugas sebut nyata ada minta beri uang jasa proses urus administrasi cepat selesai karena lama mohon izin numpang toilet kaget bukan kepalang panjang jalan menujuntoilet kotor sekali ruang belah toilet sangat kotor bau layak kadang tikus tambah ada gantung celana baju di bagi sisi mohon kondisi segera baik pihak tin kota surabaya sering turun di tingkat kelurahanuntuk pantau layan langsung masyarakat layan baik hanya beri uang jasa bisa proses cepat bersih kantor lurah juga perlu perhati sudah coba lapor tanggal 21 februari 2019 lalu sms center tangan saat berkas duduk juga belum selesai
37,mohon maaf udh kesal nya layan perintah yg sangat lelet aju buat ktp adik yg cacat tgl 13-2-19 saat blm ada tugas yg hubung layan sebut udh lebih 1minggu
38,e100ss temu paku cecer jl ahmad yani depan nissan indomaret posisi teman dari sby tuju sidoarjo yg teman laku selamat paku yg ember paku yg di aspal blm teman selamat batas 30 menit lalu
39,ingin tanya berapa lama standar waktu urus surat pindah antar camat istri urus surat camat sawah rungkut camat sawah beri waktu lama 10 hari kerja benar butuh waktu 10 hari kerja buat surat antar pindah padahal camat rungkut tanya butuh waktu 3 hari kerja di camat sawah 10 hari kerja lama sekali layan beri kes ramah mohon tanggap terima kasih
